HDI Rank,Country,GDI_Value,GDI_Group,HDI_Female,HDI_Male,Lif_Expec_Female,Lif_Excep_Male,Excep_Yrs_Schooling_Female,Excep_Yrs_Schooling_Male,Mean_Yrs_Schooling_Female,Mean_Yrs_Schooling_Male,GNI_PC_Female,GNI_PC_Male
164.0,Tanzania (United Republic of),0.952,2.0,0.513,0.539,68.7,65.4,10.2,10.2,6.4,5.8,2.222,2.978
165.0,Madagascar,1.014,1.0,0.529,0.522,57.6,51.2,11.7,10.9,7.2,5.8,1.273,1.921
166.0,Lesotho,,,,,69.4,65.1,6.7,6.9,,,2.471,3.849
167.0,Djibouti,0.822,5.0,0.464,0.565,61.9,60.2,11.5,13.8,3.5,6.7,4.151,7.077
168.0,Togo,0.87,5.0,0.475,0.546,69.9,65.8,8.9,8.2,1.9,4.6,1.22,1.989
169.0,Senegal,0.659,5.0,0.391,0.593,66.4,63.4,7.7,12.5,1.9,6.0,2.271,4.401
170.0,Afghanistan,0.875,5.0,0.473,0.54,66.2,61.8,9.0,10.4,4.3,6.6,819.0,3.566
170.0,Haiti,0.86,5.0,0.466,0.542,67.2,63.5,7.7,8.3,3.3,4.2,1.41,2.016
172.0,Sudan,0.846,5.0,0.448,0.53,63.5,60.7,10.0,9.8,3.3,4.6,1.981,5.679
173.0,Gambia,0.837,5.0,0.442,0.527,68.5,64.7,8.3,9.3,1.7,4.3,1.145,3.207
174.0,Ethiopia,0.986,1.0,0.493,0.5,67.4,61.1,11.2,11.3,6.9,5.2,1.642,2.771
175.0,Malawi,0.845,5.0,0.439,0.52,62.2,59.1,8.6,10.8,5.3,8.4,838.0,1.237
175.0,Congo (Democratic Republic of the),,,,,60.2,56.3,,,,,907.0,1.218
175.0,Guinea-Bissau,0.89,5.0,0.453,0.509,65.5,62.7,9.2,10.4,3.5,6.2,1.647,2.361
178.0,Liberia,0.817,5.0,0.428,0.524,62.1,60.9,8.0,10.8,1.5,4.2,1.242,1.275
179.0,Guinea,0.488,5.0,0.27,0.553,67.8,64.4,7.4,10.2,2.9,5.1,2.266,2.554
180.0,Yemen,,,,,68.6,64.2,4.6,5.4,,,186.0,2.98
181.0,Eritrea,0.912,4.0,0.435,0.476,63.7,57.8,9.5,10.5,2.7,4.5,2.275,3.309
182.0,Mozambique,0.867,5.0,0.418,0.482,62.3,60.7,9.1,9.4,1.1,2.3,1.131,1.377
182.0,Burkina Faso,0.884,5.0,0.423,0.479,55.5,53.9,9.7,10.6,2.9,4.5,1.541,2.727
184.0,Sierra Leone,0.821,5.0,0.388,0.473,60.1,58.5,6.8,8.1,1.7,3.0,1.47,1.867
185.0,Mali,0.999,1.0,0.432,0.432,63.4,59.8,11.0,11.1,2.6,4.1,1.516,3.019
185.0,Burundi,0.842,5.0,0.384,0.456,59.4,56.4,3.5,5.9,3.9,5.2,866.0,640.0
187.0,South Sudan,0.764,5.0,0.342,0.448,55.7,52.8,5.9,8.8,1.3,3.8,1.759,2.247
188.0,Chad,0.801,5.0,0.351,0.438,55.5,51.1,6.2,8.9,3.0,5.6,1.244,1.868
189.0,Central African Republic,0.724,5.0,0.321,0.443,63.6,61.3,5.7,7.2,1.4,2.8,792.0,1.197
